,filename,electrode 0,electrode 1,electrode 2,electrode 3,electrode 4,electrode 5,electrode 6,electrode 7,electrode 8,electrode 9,electrode 10,electrode 11,electrode 12,electrode 13,test-type
114,A011SB1_1.csv,0.0063943341,0.0060453653,0.0027312902,0.0027453099,0.002529315,0.0044213966,0.0023500209,0.0022663097,0.0022600308,0.0091182178,0.0050314963,0.0036480311,0.0039940725,0.0049628937,1
115,A029SV1_1.csv,0.0041842532,0.0037066627,0.0027475391,0.0035138697,0.0023659987,0.0020562718,0.0036016505,0.0023935622,0.0016455974,0.0025339384,0.0048337991,0.0048638634,0.0076645555,0.0057528129,5
116,A023SB1_1.csv,0.0093160198,0.0053505172,0.0046806329,0.0041726903,0.0039832924,0.0027588776,0.004252768,0.0039929062,0.0041430745,0.0055598814,0.0035978801,0.0046890972,0.0052280362,0.008974538,1
117,A015SB3_1.csv,0.0073569008,0.0050865648,0.0048425628,0.0062039126,0.0034252274,0.007228663,0.0033423854,0.0039945482,0.0035111778,0.0038184071,0.0041659575,0.003842334,0.0095978264,0.0071661518,3
118,A022SV1_1.csv,0.0106662872,0.0091327993,0.0029833548,0.0068585488,0.0058806531,0.0039208814,0.0034146843,0.0044876781,0.002869579,0.0079318017,0.0069949894,0.0039435836,0.0103726218,0.0127578838,5
119,A016SB3_1.csv,0.005083122,0.0073127574,0.0036939941,0.0098128127,0.0050415711,0.0045546332,0.0048136054,0.0053356664,0.0028818169,0.0107853889,0.0067640816,0.005116633,0.0068396076,0.0095721232,3
120,A026SB2_1.csv,0.0042252467,0.0034665746,0.0041929794,0.0023111846,0.0024008631,0.0022413472,0.0027279374,0.0034416338,0.0140599201,0.0030601055,0.008618899,0.0029623867,0.0036493162,0.0110688751,2
121,A028SM1_1.csv,0.0054059909,0.003242255,0.005316604,0.0048096846,0.0023040148,0.0015218264,0.002638036,0.0023835729,0.0021233072,0.0029940039,0.0506980151,0.0044500874,0.0062084672,0.0060286637,4
122,A013SM1_1.csv,0.0055710197,0.0038717019,0.0030676772,0.0019296238,0.0035465098,0.001997525,0.0017711233,0.0026186745,0.0040213526,0.0041643674,0.0026216288,0.0026565467,0.0042737184,0.0047357983,4
123,A010SB3_1.csv,0.0488025485,0.0542689283,0.0481920045,0.0517301461,0.0517640744,0.0477976419,0.0474187809,0.045736134,0.0473501388,0.0530605474,0.0448527718,0.0503872231,0.0405144682,0.0510232474,3
124,A027SB2_1.csv,0.006816294,0.0182457806,0.0051889731,0.0069406535,0.0049724882,0.0068071273,0.0031026388,0.0070193075,0.0224892513,0.0071609371,0.0174874577,0.0464749929,0.0207637083,0.0158684468,2
125,A007SB2_1.csv,0.0027709798,0.0032967837,0.0027666948,0.0035304989,0.003893783,0.0026462111,0.0022360314,0.0024574215,0.0026726231,0.0109316774,0.0028031814,0.0031803274,0.0042575973,0.0036230288,2
126,A024SB1_1.csv,0.0069823663,0.0051998879,0.0046661173,0.0119690544,0.0035067894,0.002905249,0.0032577752,0.0060309034,0.0033159553,0.0048874478,0.0047588699,0.0042478281,0.006543145,0.0081997609,1
127,A023SM1_1.csv,0.0147578321,0.0141209842,0.009440042,0.0139442845,0.0111011596,0.007319103,0.012555227,0.0118555015,0.011408414,0.0139609447,0.013334373,0.0104193346,0.0136728523,0.0146641865,4
128,A022SM1_1.csv,0.0074062265,0.008040464,0.0026712341,0.0060308301,0.0050115326,0.002213043,0.0023073835,0.0039675867,0.0027157141,0.0044730358,0.0071907191,0.0035075308,0.0096295318,0.0084219105,4
129,A028SB1_1.csv,0.0051912671,0.0041955231,0.0033026653,0.0026210446,0.0029953267,0.001955419,0.0024351513,0.0036217073,0.002273766,0.0028469481,0.0155075067,0.0433899767,0.0054861198,0.0070930526,1
130,A027SB1_1.csv,0.0267962573,0.0097633663,0.0108030774,0.0075402193,0.0083197764,0.0170556027,0.0099992669,0.0099071679,0.0262953052,0.0157416347,0.0168627865,0.0475949753,0.013723252,0.0180183688,1
131,A007SB3_1.csv,0.0040227032,0.0070867967,0.0029863197,0.0035564183,0.0051160325,0.0037533556,0.0034551462,0.0028971951,0.002992859,0.0045264612,0.0032723406,0.003223104,0.009186043,0.0043437013,3
132,A015SB2_1.csv,0.0059943254,0.0164825784,0.0058839308,0.0084476714,0.0034059204,0.0032537138,0.0037394919,0.0042794248,0.0038009687,0.0043736459,0.0047142971,0.0046632499,0.0103364104,0.0065432615,2
133,A027SB3_1.csv,0.0069290784,0.0047962731,0.0036747086,0.0031165334,0.0043229525,0.0039449129,0.0024130055,0.0058576172,0.0232222062,0.0035699217,0.0196533332,0.0552918785,0.0125015175,0.0175477944,3
134,A024SV1_1.csv,0.0073212201,0.0052076525,0.0038880094,0.007950322,0.003192151,0.0028192756,0.003545343,0.0051769585,0.0029266604,0.0053892355,0.004896453,0.0035953802,0.0074415838,0.0098727521,5
135,A008SB1_1.csv,0.0083394695,0.0059297762,0.0059645563,0.0075147808,0.0070149733,0.0030599149,0.0076706331,0.0122720368,0.0086682784,0.0078050232,0.0081341165,0.0080729642,0.0078383812,0.0071059739,1
136,A003SM1_1.csv,0.0043794651,0.0048927882,0.0023192686,0.002542336,0.0028442685,0.0016799486,0.0022917417,0.0018946125,0.0034280234,0.0032129783,0.0028969618,0.0066378797,0.0053142543,0.0194084078,4
137,A010SB1_3.csv,0.026762487,0.0316945331,0.0266564579,0.0278943297,0.0359866342,0.0270767969,0.0258540939,0.0240264852,0.0268250892,0.0303878136,0.0242837614,0.0276632041,0.0211819127,0.0269802029,1
138,A028SB3_1.csv,0.0077175166,0.0052282114,0.0033390302,0.0041618162,0.0022695644,0.0026524632,0.0030646917,0.0030187644,0.003439307,0.0035395789,0.0285280675,0.0209800835,0.0121533914,0.0087803003,3
139,A014SB3_1.csv,0.0482550216,0.0096367418,0.0060210532,0.0087612145,0.0151766619,0.0086875681,0.0034130999,0.0036959496,0.0041578275,0.0080090906,0.0072637577,0.0060221193,0.0081726464,0.0145307927,3
140,A010SV1_1.csv,0.0819591976,0.0876582103,0.0736071432,0.0852966279,0.0856709336,0.0754697565,0.0750572821,0.0742227358,0.0848638667,0.0864101204,0.0743156199,0.0775915614,0.0655075613,0.0785948635,5
141,A018SB1_1.csv,0.009192275,0.0278877005,0.0039939965,0.0042150224,0.0034904423,0.0027772189,0.0062610769,0.0070461584,0.0031710563,0.0033173653,0.0044628898,0.0037960783,0.0062694484,0.0085383939,1
